AMR
"(d / dismiss-01
                  :ARG0 c
                  :location (w / worldwide))
            :ARG0-of (m2 / meet-01
                  :ARG1 (s2 / spike-01
                        :ARG1 (p / prepare-01
                              :ARG1 (m3 / meal
                                    :mod (h2 / home)))
                        :ARG1-of (e / expect-01)))))"
"(s / suggest-01
      :ARG0 (y / you)
      :ARG1 (r / recommend-01
            :ARG0 y
            :ARG1 (s2 / start-01
                  :ARG0 (p / person
                        :mod (t / that)
                        :prep-in (m / mode
                              :polarity -
                              :mod (p2 / panic-01)
                              :time (y2 / yet)))
                  :ARG1 (p3 / panic-01
                        :ARG0 p)))
      :time (a / amr-unknown))"
"(m / multi-sentence
      :snt1 (a / and
            :op1 (s / see-01
                  :ARG0 (p / person
                        :ARG0-of (m2 / manage-01
                              :ARG1 (s2 / supermarket)))
                  :ARG1 (w / wait-01
                        :ARG1 (w2 / we)
                        :ARG1-of (l / long-03
                              :ARG2-of (h / have-degree-91
                                    :ARG1 w
                                    :ARG3 (t / too
                                          :mod (w3 / way))))))
            :op2 (f / find-01
                  :ARG0 p
                  :ARG1 (r / register
                        :ARG1-of (o / open-09)))
            :op3 (l2 / let-01
                  :ARG0 p
                  :ARG1 (g / go-02
                        :ARG0 w2
                        :ord (o2 / ordinal-entity
                              :value 1))))
      :snt2 (t2 / thank-01
            :ARG0 (ii / i)
            :ARG1 (p2 / person
                  :name (n / name
                        :op1 ""Allah""))
            :ARG2 (t3 / that)
            :time (ii2 / immediate)))"
"(l / likely-01
      :ARG1 (p / pick-up-04
            :ARG0 (y / you)
            :ARG1 (d / disease
                  :name (n / name
                        :op1 ""Corona""
                        :op2 ""Virus""))
            :location (s / supermarket
                  :ARG1-of (l2 / local-02)))
      :ARG2-of (h / have-degree-91
            :ARG1 p
            :ARG3 (m / more)
            :ARG4 (p2 / pick-up-04
                  :ARG0 y
                  :ARG1 d
                  :location (p3 / pub)))
      :ARG1-of (c / cause-01
            :ARG0 (a / and
                  :op1 (s2 / shop-01)
                  :op2 (t / thing)
                  :time (m2 / moment))))"
"(s / sanitize-01
      :quant 2
      :ARG0 (p / product
            :name (n / name
                  :op1 ""Clorox""))
      :ARG2 (f / fabric)
      :quant (l / lot)
      :domain (t / this)
      :quant (m / mass-quantity
            :quant 24
            :unit (f2 / fluid-ounce)
            :mod (e / each)))"
"(m / multi-sentence
      :snt1 (c / call-on-05
            :ARG0 (w / we)
            :ARG1 (u / university)
            :ARG2 (c2 / continue-01
                  :ARG0 u
                  :ARG1 (p / pay-01
                        :ARG0 u
                        :ARG2 (c3 / company
                              :ARG0-of (p2 / provide-01
                                    :ARG1 (s / serve-01
                                          :ARG1 (f / food))
                                    :ARG2 u)))
                  :purpose (p3 / possible-01
                        :ARG1 (p4 / pay-01
                              :ARG0 u
                              :ARG2 (p5 / person
                                    :ARG0-of (w2 / work-01
                                          :ARG1 (s2 / serve-01
                                                :ARG1 f))
                                    :location (c4 / campus))
                              :time (c5 / crisis)))))
      :snt2 (j / join-04
            :mode imperative
            :ARG0 (y / you)
            :ARG1 (w3 / we)
            :manner (s3 / send-01
                  :ARG0 y
                  :ARG1 (e / email)
                  :time (n / now))))"
"(m / multi-sentence
      :snt1 (h / have-03
            :polarity -
            :ARG0 (s / store
                  :mod (g / grocery))
            :ARG1 (c / cream
                  :mod (s2 / sour)
                  :location (b / bottle
                        :ARG1-of (s3 / squeeze-01)))
            :time (t / today))
      :snt2 (h2 / have-03
            :ARG0 (t2 / they)
            :ARG1 (a / and
                  :op1 (c2 / cream
                        :ARG1-of (r / regular-03))
                  :op2 (c3 / cream
                        :ARG1-of (l / light-06))
                  :op3 (c4 / cream
                        :mod (c5 / chive)))
            :ARG1-of (c6 / contrast-01
                  :ARG2 (b2 / bottle
                        :polarity -
                        :ARG1-of (s4 / squeeze-01)
                        :mod (f / frickin)))))"
"(m / multi-sentence
      :snt1 (s / scheme-01
            :ARG1 (d / defraud-01
                  :ARG1 (p / person
                        :ARG0-of (c / consume-01)))
            :quant (m2 / many)
            :location (a / across
                  :op1 (c2 / country))
            :time (a2 / already)
            :mod (e / event
                  :name (n / name
                        :op1 ""COVID19"")))
      :snt2 (h / have-condition-91
            :ARG1 (r / retweet-01
                  :mode imperative
                  :polite +
                  :ARG0 (y / you)
                  :ARG1 (t / this)
                  :purpose (s2 / share-01
                        :ARG0 y
                        :ARG1 t
                        :ARG2 (a3 / and
                              :op1 (p2 / person
                                    :ARG0-of (h2 / have-rel-role-91
                                          :ARG1 y
                                          :ARG2 (f / friend)))
                              :op2 (p3 / person
                                    :ARG0-of (h3 / have-rel-role-91
                                          :ARG1 y
                                          :ARG2 (f2 / family))))
                        :purpose (ii / inform-01
                              :ARG0 y
                              :ARG1 a3
                              :ARG2 (s3 / scam-01
                                    :ARG1-of (g / go-on-15)
                                    :ARG1-of (ii2 / identify-01
                                          :ARG0 (p4 / person
                                                :ARG0-of (e2 / enforce-01
                                                      :ARG1 (l / law))))
                                    :quant (s4 / some)))))
            :ARG2 (p5 / possible-01))
      :snt3 (u / url-entity
            :value ""https://t.co/IMFeN5IcIm""))"
"(d / decide-01
      :ARG0 (c / company
            :name (n / name
                  :op1 ""Sheffield""
                  :op2 ""United""
                  :op3 ""F""
                  :op4 ""C""))
      :ARG1 (c2 / close-01
            :ARG0 c
            :ARG1 (s / store
                  :mod (r / retail-01)
                  :poss c
                  :mod (a / all)
                  :ARG2-of (ii / include-01
                        :ARG1 (s2 / store
                              :location (r2 / road
                                    :name (n2 / name
                                          :op1 ""Meadowhall""))
                              :poss c)))
            :duration (t / temporary))
      :ARG1-of (c3 / cause-01
            :ARG0 (s3 / situation
                  :time (c4 / current)
                  :ARG1-of (e / evolve-01)
                  :mod (p / product
                        :name (n3 / name
                              :op1 ""COVID""
                              :op2 19)
                        :mod (d2 / disease
                              :name (n4 / name
                                    :op1 ""Coronavirus""))))))"
"(a / age-01
      :ARG1 (t / this)
      :ARG1-of (w / well-09
            :polarity -))"
"(s / step-01
      :ARG1 (a / and
            :op1 (g / government-organization
                  :name (n / name
                        :op1 ""Ministry""
                        :op2 ""of""
                        :op3 ""Agriculture""
                        :op4 ""and""
                        :op5 ""Fishings""))
            :op2 (c / city
                  :name (n2 / name
                        :op1 ""Municipality""
                        :op2 ""of""
                        :op3 ""Greater""
                        :op4 ""Amman"")))
      :ARG2 (s2 / stabilize-01
            :ARG0 a
            :ARG1 (t / thing
                  :ARG2-of (p / price-01
                        :ARG1 (v / vegetable)))))"
"(w / way
      :ARG1-of (b / brilliant-01)
      :manner-of (s / stop-01
            :ARG1 (h / hoard-01
                  :time (p / pandemic
                        :mod (c / coronavirus))))
      :domain (t / this))"
"(l / language
      :polarity -
      :name (n / name
            :op1 ""English"")
      :ARG1-of (s / standard-02)
      :domain (t / this))"
"(a / affect-01
      :ARG0 (c / coronavirus)
      :ARG1 (s / shop-01
            :ARG0 (y / you)
            :ARG2 (c2 / company
                  :name (n / name
                        :op1 ""Amazon""))
            :mod (o / online))
      :mod (a2 / also))"
"(o / opine-01
      :ARG0 (p / person
            :ARG1-of (e / expert-01))
      :ARG1 (w / way
            :quant 3
            :manner-of (c / change-01
                  :ARG1 (s / shop-01
                        :ARG1 (g / grocery)
                        :medium (o2 / online))
                  :ARG1-of (p2 / possible-01)
                  :duration (t / term
                        :ARG1-of (l / long-03)))
            :domain (a / and
                  :op1 (o3 / order-01
                        :quant (m / more)
                        :location (o4 / online))
                  :op2 (b / buy-01
                        :quant (m2 / more)
                        :manner (b2 / bulk))
                  :op3 (e2 / experience-01
                        :ARG1 (s2 / store)
                        :mod (v / virtual)
                        :quant (m3 / more)))))"
"(m / multi-sentence
      :snt1 (r / reflex
            :domain (ii / it))
      :snt2 (p / paranoid
            :domain (e / everyone))
      :snt3 (p2 / possible-01
            :ARG1 (u / understand-01
                  :ARG0 (ii2 / i)
                  :manner (p3 / perspective
                        :mod (b / both))))
      :snt4 (g / give-01
            :ARG0 (v / virus
                  :name (n / name
                        :op1 ""Corvid19""))
            :ARG1 (n2 / name
                  :ARG1-of (b2 / bad-07))
            :ARG2 (d / disease
                  :name (n3 / name
                        :op1 ""Common""
                        :op2 ""Cold""))))"
"(s / see-01
      :ARG0 (c / company
            :name (n / name
                  :op1 ""DS""
                  :op2 ""Smith"")
            :domain (c2 / company
                  :ARG1-of (h / have-degree-91
                        :ARG2 (g / good-03
                              :ARG1 c2)
                        :ARG3 (m / most))
                  :ARG0-of (r / recycle-01
                        :ARG1 (p / paper))
                  :ARG0-of (p2 / package-01)))
      :ARG1 (r2 / rise-01
            :ARG1 (n2 / need-01
                  :ARG1 (p3 / package-01))
            :mod (s2 / sheer)
            :ARG1-of (c3 / cause-01
                  :ARG0 (r3 / rise-01
                        :ARG1 (d / demand-01
                              :ARG0 (p4 / person
                                    :ARG0-of (c4 / consume-01)))
                        :time (c5 / crisis
                              :mod (c6 / coronavirus))))))"
"(s / show-01
      :ARG0 (v / video
            :mod (t / this))
      :ARG1 (p / possible-01
            :ARG1 (s2 / spread-02
                  :ARG1 (c / coronavirus)
                  :manner (c2 / cough-01
                        :quant 1
                        :mod (j / just)
                        :location (s3 / supermarket))
                  :ARG1-of (e / easy-05
                        :degree (s4 / so)))))"
"(d / deadline
      :domain (r / round-05
            :ARG1 (f / fund-01
                  :ARG1 (r2 / respond-01
                        :ARG0 (g / group
                              :mod (c / community)
                              :location (c2 / city
                                    :name (n / name
                                          :op1 ""Barnet"")))
                        :ARG1 (d2 / disease
                              :name (n2 / name
                                    :op1 ""Coronavirus""))))
            :ord (o / ordinal-entity
                  :value 1))
      :time (d3 / date-entity
            :weekday (f2 / friday)
            :mod (t / this)))"
"(o / obligate-01
      :ARG1 (ii / i)
      :ARG2 (a / and
            :op1 (a2 / adapt-01
                  :ARG0 ii)
            :op2 (ii2 / improvise-01
                  :ARG0 ii)
            :op3 (o2 / overcome-01
                  :ARG0 ii))
      :time (t / turn-away-04
            :ARG1 ii
            :ARG2 (s / store
                  :mod (g / grocery)
                  :ARG1-of (l / local-02))
            :time (d / date-entity
                  :dayperiod (m / morning)
                  :mod (t2 / today))
            :ARG1-of (c / cause-01
                  :ARG0 (h / have-03
                        :polarity -
                        :ARG0 ii
                        :ARG1 (m2 / mask
                              :purpose (s2 / safe-01)
                              :ARG1-of (n / new-01)
                              :ARG1-of (r / recommend-01)))))
      :ARG1-of (q / quick-02))"
"(ii / important-01
      :ARG1 (c / continue-01
            :ARG0 (w / we)
            :ARG1 (b / build-01
                  :ARG0 w
                  :ARG1 (r / relation-03
                        :ARG0 w
                        :ARG2 (p / person
                              :ARG0-of (c2 / consume-01)))
                  :time (p2 / period
                        :mod (t / this)
                        :time-of (ii2 / isolate-01
                              :ARG1 w))))
      :degree (r2 / really))"
"(s / say-01
      :ARG0 (p / person
            :ARG0-of (h / have-rel-role-91
                  :ARG1 (ii / i)
                  :ARG2 (g / grandmother)))
      :ARG1 (p2 / possible-01
            :ARG1 (g2 / go-02
                  :ARG0 (y / you)
                  :ARG4 (s2 / store
                        :mod (g3 / grocery))
                  :beneficiary ii)
            :polarity (a / amr-unknown)))"
"(p / possible-01
      :ARG1 (w / way
            :direction (f / forward)
            :purpose (s / suggest-01
                  :ARG0 (y / you)
                  :ARG1 (r / reopen-01
                        :ARG0 y
                        :ARG1 (c / country
                              :name (n / name
                                    :op1 ""America""))))
            :domain (a / and
                  :op1 (g / go-02
                        :mode imperative
                        :ARG0 y)
                  :op2 (d / do-02
                        :mode imperative
                        :ARG0 y
                        :ARG1 (w2 / work-01
                              :ARG0 y
                              :ARG1-of (r2 / real-04)
                              :quant (s2 / some))
                        :mod (f2 / for-a-change)))
            :domain (a2 / and
                  :op1 (l / lead-02
                        :ARG0 y
                        :source (f3 / front))
                  :op2 (g2 / go-02
                        :mode imperative
                        :ARG0 y
                        :ARG1 (v / volunteer-01
                              :ARG0 y
                              :ARG1 (o / or
                                    :op1 (c2 / clean-01
                                          :ARG0 y
                                          :ARG1 (a3 / and
                                                :op1 (b / bed)
                                                :op2 (r3 / room)
                                                :ARG1-of (r4 / ride-01
                                                      :ARG0 (o2 / organization
                                                            :name (n2 / name
                                                                  :op1 ""COVID-19"")))))
                                    :op2 (w3 / work-01
                                          :ARG0 y
                                          :location (s3 / supermarket)
                                          :manner (t / till))
                                    :op3 (b2 / bag-up-02
                                          :ARG0 y)))))))"
"(c / cause-01
      :ARG0 (l / law
            :name (n / name
                  :op1 ""COVID-19""))
      :ARG1 (d / decrease-01
            :ARG0 l
            :ARG1 (p / price-01
                  :ARG1 (a / and
                        :op1 (h / hotel)
                        :op2 (c2 / car
                              :ARG1-of (r / rent-01))
                        :op3 (d2 / dress
                              :mod (w / woman))))))"
"(r / recommend-01
      :ARG1 (r2 / restore-01
            :ARG0 (g / government-organization
                  :ARG0-of (g2 / govern-01))
            :ARG1 (m / mass-quantity
                  :quant 4
                  :unit (g3 / gram))
            :purpose (p / possible-01
                  :ARG1 (g4 / get-01
                        :ARG0 (p2 / person)
                        :ARG1 (a / and
                              :op1 (ii / information
                                    :topic (c / coronavirus))
                              :op2 (r3 / realize-01
                                    :ARG1 c))
                        :location (h / home
                              :poss p2)))))"
"(m / multi-sentence
      :snt1 (p / possible-01
            :polarity -
            :ARG1 (m2 / mean-01
                  :ARG0 (y / you)
                  :ARG2 (t / that))
            :ARG1-of (s / sure-02
                  :ARG0 (p2 / person
                        :ARG0-of (h / have-org-role-91
                              :ARG1 (o / organization
                                    :name (n / name
                                          :op1 ""Curry""
                                          :op2 ""Health""
                                          :op3 ""Network""))
                              :ARG2 (o2 / officer
                                    :mod (c / chief)
                                    :mod (e / executive))))))
      :snt2 (t2 / tell-01
            :ARG0 (h2 / hospital
                  :ARG1-of (l / local-02)
                  :poss (w / we))
            :ARG1 (s2 / strategy
                  :ARG1-of (c2 / crazy-03)
                  :purpose (q / quarantine-01)
                  :quant (s3 / some))
            :ARG2 (ii / i
                  :ARG1-of (l2 / local-02)
                  :ARG1-of (w2 / wait-01
                        :ARG2 (r / result-01
                              :ARG1 (t3 / test-01
                                    :ARG2 (p3 / product
                                          :name (n2 / name
                                                :op1 ""Covid-19""))))
                        :duration (d / day
                              :ord (o3 / ordinal-entity
                                    :value 2))))))"
"(r / remind-01
      :ARG0 (s / style
            :poss (p / presentation
                  :name (n / name
                        :op1 ""Covid-19""
                        :op2 ""Mortality"")))
      :ARG1 (p2 / program
            :topic (r2 / result
                  :mod (f / football))
            :mod (a / awful)
            :time (d / date-entity
                  :decade 1970
                  :weekday (s2 / saturday)
                  :dayperiod (a2 / afternoon)))
      :ARG2 (w / we))"
"(c / catch-02
      :ARG1 (h / he)
      :ARG2 (r / rob-01
            :ARG0 h
            :ARG1 (c2 / citizen))
      :manner (r2 / red-handed)
      :time (p / pandemic
            :mod 19)
      :time (p2 / pandemic))"
"(m / multi-sentence
      :snt1 (a / and
            :op1 (r / recommend-01
                  :ARG1 (s / set-up-03
                        :ARG0 (y / you)
                        :ARG1 (r2 / roadblock)
                        :location (p / place))
                  :ARG2 y)
            :op2 (q / question-01
                  :ARG0 y
                  :ARG1 (p2 / person)
                  :manner (o / on-the-spot)))
      :snt2 (t / think-01
            :ARG0 (p3 / person
                  :quant (m2 / many))
            :ARG1 (n / need-01
                  :ARG0 p3
                  :ARG1 (g / go-02
                        :ARG0 p3
                        :ARG4 (s2 / supermarket
                              :mod (e / every)
                              :location (a2 / area
                                    :poss p3))))
            :mod (s3 / still))
      :snt3 (m3 / make-do-02
            :mode imperative
            :ARG0 (y2 / you)
            :ARG1 (t2 / thing
                  :ARG1-of (h / have-03
                        :ARG0 y2)))
      :snt4 (s4 / stay-01
            :ARG1 (p4 / person
                  :name (n2 / name
                        :op1 ""Stay""
                        :op2 ""Home""
                        :op3 ""Save""
                        :op4 ""Lives"")))
      :snt5 (s5 / stay-01
            :ARG1 (p5 / person)
            :location (h2 / home)))"
"(b / be-temporally-at-91
      :ARG1 (ii / it)
      :ARG2 (d / date-entity
            :time ""17:16""
            :ARG0-of (c / cause-01
                  :ARG1 (c2 / complain-01
                        :ARG0 (a / arsehole
                              :quant (h / horde)
                              :mod (b2 / bourgeois)
                              :ARG1-of (ii2 / inconvenience-01
                                    :ARG0 (v / virus
                                          :mod (c3 / coronavirus))
                                    :degree (m / mild)))
                        :ARG1 (s / stick-01
                              :ARG1 a
                              :ARG2 (ii3 / inside)
                              :accompanier (a2 / and
                                    :op1 (f / furniture
                                          :mod (m2 / midcentury)
                                          :poss a)
                                    :op2 (s2 / slash
                                          :op1 (d2 / dog)
                                          :op2 (c4 / child))
                                    :op3 (ii4 / internet
                                          :mod (s3 / speed
                                                :ARG1-of (h2 / high-02)))
                                    :op4 (s4 / service
                                          :mod (s5 / stream-03)
                                          :quant (m3 / multiple))
                                    :op5 (s6 / shop-01
                                          :ARG0 a
                                          :medium (o / online)))
                              :duration (d3 / day
                                    :mod (a3 / all)))))))"
"(m / multi-sentence
      :snt1 (f / fantastic-02
            :mode expressive
            :ARG1 (p / person
                  :ARG0-of (w / work-01
                        :ARG1 (c / care-03
                              :ARG1 (h / health)))))
      :snt2 (l / like-02
            :ARG0 (ii / i)
            :ARG1 (g / give-01
                  :ARG0 ii
                  :ARG1 (s / shout-out-03
                        :ARG0 ii
                        :ARG1 (p2 / person
                              :ARG0-of (d / drive-01
                                    :ARG1 (l2 / lorry))
                              :ARG0-of (w2 / work-01
                                    :ARG1 (g2 / get-05
                                          :ARG0 p2
                                          :ARG1 (f2 / food)
                                          :ARG2 (s2 / supermarket))
                                    :duration (r / round-the-clock)
                                    :duration (w3 / week
                                          :quant (t / temporal-quantity
                                                :quant 7
                                                :unit (d2 / day)))))))
            :mod (a / also))
      :snt3 (s3 / stop-01
            :mode imperative
            :polite +
            :ARG0 (y / you)
            :ARG1 (b / buy-01
                  :ARG0 y
                  :manner (p3 / panic-01
                        :ARG1 y))
            :ARG1-of (c2 / cause-01
                  :ARG0 (c3 / come-01
                        :ARG1 (f3 / food
                              :quant (m2 / more))))))"
"(r / reduce-01
      :ARG0 (w / we)
      :ARG1 (c / cost-01
            :ARG1 (o / overage
                  :mod (d / data))
            :location (c2 / country
                  :name (n / name
                        :op1 ""Australia"")))
      :ARG3 (r2 / rate-entity-91
            :ARG1 (m / monetary-quantity
                  :quant 10
                  :unit (d2 / dollar))
            :ARG2 (v / volume-quantity
                  :quant 1
                  :unit (g / gigabyte)))
      :ARG4 (r3 / rate-entity-91
            :ARG1 (m2 / monetary-quantity
                  :quant 1
                  :unit (d3 / dollar))
            :ARG2 (o2 / or
                  :op1 (p / plan
                        :mod (p2 / phone
                              :mod (p3 / person
                                    :ARG0-of (c3 / consume-01))))
                  :op2 (c4 / customer
                        :mod (t / tablet))
                  :op3 (c5 / customer
                        :mod (b / broadband
                              :mod (m3 / mobile)))
                  :ARG0-of (h / have-03
                        :polarity -
                        :ARG1 (p4 / plan
                              :mod (d4 / data)
                              :ARG1-of (e / end-01
                                    :polarity -)))
                  :ARG0-of h
                  :ARG1 (p5 / plan
                        :ARG0-of (t2 / trigger-01
                              :ARG1 o
                              :mod (r4 / rate-entity-91
                                    :ARG1 (m4 / monetary-quantity
                                          :quant 10
                                          :unit (d5 / dollar))
                                    :ARG2 (v2 / volume-quantity
                                          :quant 1
                                          :unit (g2 / gigabyte))))))
            :time (c6 / current)))"
"(d / date
      :mod (l / last)
      :time-of (p / pay-01
            :ARG1 (b / bill-01
                  :ARG3 (e / electricity)
                  :ARG1-of (c / cause-01
                        :ARG0 (t / tension
                              :ARG1-of (h / high-02)))
                  :time (m / month
                        :mod l)))
      :ARG1-of (c2 / cause-01
            :ARG0 (d2 / delay-01
                  :ARG1 (l2 / law
                        :name (n / name
                              :op1 ""COVID-19""))))
      :domain (a / amr-unknown))"
"(k / know-01
      :polarity -
      :ARG0 (ii / i)
      :ARG1 (r / recommend-01
            :ARG1 (o / or
                  :op1 (h / hold-01
                        :ARG0 ii)
                  :op2 (ii2 / invest-01
                        :ARG0 ii))))"
"(m / multi-sentence
      :snt1 (t / take-03
            :ARG0 (g / guy
                  :mod (t2 / this))
            :ARG1 (c / coronavirus)
            :ARG2 (s / stride))
      :snt2 (a / and
            :op1 (s2 / sense-02
                  :ARG1 (h / he))
            :op2 (p / panic-01
                  :polarity -
                  :ARG1 h)
            :op3 (e / enjoy-01
                  :ARG0 h
                  :ARG1 (ii / isolate-01
                        :ARG1 h
                        :ARG2 h)
                  :ARG1-of (g2 / general-02))))"
"(m / multi-sentence
      :snt1 (e / expect-01
            :ARG1 (s / slow-down-03
                  :ARG0 (l / law
                        :name (n / name
                              :op1 ""COVID-19""))
                  :ARG1 (m2 / market-01
                        :ARG1 (h / house-01)
                        :time (d / date-entity
                              :season (s2 / spring))))
            :condition (m3 / miss-02
                  :ARG0 (y / you)
                  :ARG1 (ii / it)))
      :snt2 (k / keep-01
            :ARG0 (w / we)
            :ARG1 (p / post-01
                  :ARG0 w
                  :ARG1 (a / and
                        :op1 (ii2 / insight)
                        :op2 (p2 / perspective)
                        :mod (a2 / any)
                        :ARG1-of (l2 / learn-01
                              :ARG0 w
                              :time (a3 / and
                                    :op1 (d2 / day)
                                    :op2 (w2 / week)
                                    :op3 (m4 / month)
                                    :ARG1-of (c / come-01)
                                    :mod (a4 / ahead))))
                  :ARG2 (y2 / you))))"
"(f / find-out-03
      :ARG0 (b / broadcast-program
            :name (n / name
                  :op1 ""FOX43""))
      :ARG1 (h / have-manner-91
            :ARG1 (c / cancel-01
                  :ARG1 (h2 / have-org-role-91
                        :ARG1 (g / gym)
                        :ARG2 (m / member))
                  :time (l / law
                        :name (n2 / name
                              :op1 ""COVID-19""))
                  :ARG2-of (p / penalize-01
                        :polarity -
                        :mod (a / any)))))"
"(m / multi-sentence
      :snt1 (j / join-01
            :ARG0 (c / company
                  :name (n / name
                        :op1 ""Syngenta""))
            :ARG1 (c2 / company
                  :name (n2 / name
                        :op1 ""Huntsman_Corp""))
            :ARG2 (m2 / make-01
                  :ARG0 c
                  :ARG1 (p / product
                        :name (n3 / name
                              :op1 ""HandSanitizer""))
                  :location (s / site
                        :location (c3 / city
                              :name (n4 / name
                                    :op1 ""Monthey""))
                        :poss c)
                  :purpose (u / use-01
                        :ARG1 p
                        :location (a / and
                              :op1 (h / hospital
                                    :ARG1-of (l / local-02
                                          :ARG1 (p2 / pharmacy)))
                              :op2 p2)))
            :ARG2-of (r / respond-01
                  :ARG0 c
                  :ARG1 (a2 / appeal-02
                        :ARG0 (a3 / authority
                              :mod (c4 / country
                                    :name (n5 / name
                                          :op1 ""Switzerland"")))
                        :mod (u2 / urgent))))
      :snt2 (v / virus
            :mod (c5 / coronavirus)
            :medium (u3 / url-entity
                  :value ""https://t.co/3"")))"
"(s / suspend-01
      :ARG0 (c / company
            :mod (d / durable))
      :ARG1 (m / manufacture-01
            :ARG0 c)
      :ARG1-of (c2 / cause-01
            :ARG0 (l / lock-down-06
                  :mod (p / product
                        :name (n / name
                              :op1 ""COVID-19"")))))"
"(f / fumble-01
      :ARG0 (a / authority
            :mod (c / country
                  :name (n / name
                        :op1 ""Italy"")))
      :ARG1 (s / step-01
            :ARG1 a
            :ARG2 (a2 / and
                  :op1 (ii / isolate-01
                        :ARG0 a
                        :ARG1 (c2 / coronavirus))
                  :op2 (l / limit-01
                        :ARG0 a
                        :ARG1 (m / move-01
                              :ARG1 (p / person)))
                  :time (e / early
                        :op1 (o / outbreak-29)
                        :ARG1-of (h / have-degree-91
                              :ARG2 (m2 / matter-01
                                    :ARG1 a2)
                              :ARG3 (m3 / most)))))
      :time (s2 / seek-01
            :ARG0 a
            :ARG1 (p2 / preserve-01
                  :ARG0 a
                  :ARG1 (a3 / and
                        :op1 (l2 / liberty
                              :mod (c3 / civil)
                              :mod (b / basic))
                        :op2 (e2 / economy))))
      :concession (h2 / have-03
            :ARG0 a
            :ARG1 (m4 / measure-02
                  :ARG1-of (ii2 / include-91
                        :ARG2 (m5 / measure-02
                              :ARG1-of (h3 / have-degree-91
                                    :ARG2 (t / tough-02
                                          :ARG1 m5)
                                    :ARG3 (m6 / most)
                                    :ARG5 (w / world))))
                  :quant (s3 / some))))"
"(c / contrast-01
      :ARG1 (d / drop-01
            :ARG1 (t / traffic
                  :mod (s / store)
                  :time (d2 / date-entity
                        :month 3))
            :ARG2 (p / percentage-entity
                  :value 53))
      :ARG2 (s2 / stay-01
            :ARG1 (r / retailer
                  :quant (s3 / some))
            :ARG3 (o / optimistic
                  :topic (r2 / rebound-01))))"
"(s / stock-up-02
      :ARG0 (p / person
            :name (n / name
                  :op1 ""Vanessa""
                  :op2 ""Hudgens""))
      :ARG1 (d / drug)
      :ARG1-of (a / appear-02)
      :ARG1-of (ii / instead-of-91
            :ARG2 (a2 / and
                  :op1 (f / food)
                  :op2 (p2 / paper
                        :purpose (t / toilet))
                  :purpose (q / quarantine-01))))"
"(p / put-01
      :ARG0 (w / work-01
            :ARG0 (w2 / we)
            :ARG1 (s / store
                  :mod (g / grocery)))
      :ARG1 w2
      :ARG2 (r / risk-01
            :ARG0 w2
            :ARG2 (e / expose-01
                  :ARG1 w2
                  :ARG2 (v / virus))
            :ARG1-of (h / high-02
                  :degree (v2 / very)))
      :condition (d / do-02
            :ARG0 w2
            :ARG1 (t / this)))"
"(r / recommend-01
      :ARG1 (s / stop-01
            :ARG0 (y / you)
            :ARG1 (d / do-02
                  :ARG0 y
                  :ARG1 (t / thing
                        :quant 19)
                  :ARG2 (p / person
                        :ARG0-of (w / work-01
                              :ARG2 (s2 / store
                                    :mod (g / grocery))))
                  :time (p2 / pandemic
                        :mod (d2 / disease
                              :name (n / name
                                    :op1 ""Coronavirus""))))))"
"(p / point-01
      :ARG0 (b / broadcast-program
            :name (n / name
                  :op1 ""Coronavirus""
                  :op2 ""Outbreak""))
      :ARG1 (b2 / business
            :ARG1-of (l / local-02))
      :ARG2 (b3 / beat-03
            :ARG0 (w / website
                  :mod (m / massive)
                  :ARG1-of (l2 / local-02)
                  :ARG1-of (p2 / price-01
                        :ARG1-of (f / fix-03))
                  :ARG0-of (d / deliver-01
                        :duration (u / up-to
                              :op1 (t / temporal-quantity
                                    :quant 1
                                    :unit (m2 / minute)))))
            :ARG1 (c / company
                  :name (n2 / name
                        :op1 ""Amazon""))))"
"(g / get-03
      :ARG1 (f / find-01
            :ARG1 (s / slot
                  :purpose (d / deliver-01)
                  :purpose (s2 / shop-01
                        :ARG1 (g2 / grocery)
                        :medium (o / online))))
      :ARG2 (h / hard-02
            :ARG1 f
            :ARG2-of (h2 / have-degree-91
                  :ARG1 f
                  :ARG3 (m / more))))"
"(m / multi-sentence
      :snt1 (c / close-10
            :ARG1 (e / equity)
            :ARG2 (b / bottom-out-01
                  :ARG0 e
                  :time (w / week
                        :mod (t / this))
                  :ARG0-of (m2 / mean-01
                        :ARG1 (e2 / extreme
                              :mod (m3 / massive)
                              :time (t2 / today)
                              :domain (a / and
                                    :op1 (v / volatility
                                          :mod (v2 / variable))
                                    :op2 (o / oil)
                                    :op3 (t3 / treasury))))))
      :snt2 (c2 / contrast-01
            :ARG1 (p / possible-01
                  :ARG1 (w2 / worsen-01
                        :ARG1 (h / headline)))
            :ARG2 (n / near-02
                  :ARG1 (p2 / price-01)
                  :ARG2 (e3 / extreme
                        :poss p2)
                  :time (a2 / already))))"
"(p / possible-01
      :ARG1 (q / qualify-02
            :ARG1 (y / you)
            :ARG2 (g / grant-01
                  :ARG0 (g2 / government-organization
                        :ARG0-of (g3 / govern-01))
                  :ARG2 y))
      :condition (p2 / possible-01
            :polarity -
            :ARG1 (a / afford-01
                  :ARG0 y
                  :ARG1 (t / top-up-04
                        :ARG0 y
                        :ARG1 (m / meter
                              :mod (p3 / prepay-01)
                              :poss y)
                        :time (c / crisis
