AMR
"(m / multi-sentence
                              :ARG0-of (c3 / consume-01)))))
      :snt4 (p5 / person
            :name (n2 / name
                  :op1 ""Caveat""
                  :op2 ""Empor""))
      :snt5 (g3 / government-organization
            :name (n3 / name
                  :op1 ""government-organization_2 :op2 ""
                  :ARG0-of (g4 / govern-01)))
      :snt6 (u / url-entity
            :value ""https://t.co/u2VTjx0Hif""))"
"(m / multi-sentence
      :snt1 (s / shop-01
            :medium (o / online))
      :snt2 (p / possible-01
            :ARG1 (a / and
                  :op1 (d / donate-01
                        :ARG0 (y / you)
                        :ARG1 (ii / item)
                        :ARG2 (t / thing
                              :name (n / name
                                    :op1 ""WisHLIST"")
                              :poss (w / we)))
                  :op2 (s2 / support-01
                        :ARG0 y
                        :ARG1 (p2 / person
                              :poss w
                              :ARG1-of (h / have-degree-91
                                    :ARG2 (v / vulnerable-01
                                          :ARG1 p2)
                                    :ARG3 (m2 / most))
                              :ARG0-of (n2 / need-01
                                    :ARG1 (a2 / and
                                          :op1 (n3 / nappy
                                                :mod (m3 / milk
                                                      :mod (f / formula)))
                                          :op2 (w2 / wipe
                                                :beneficiary (b / baby))
                                          :op3 (p3 / product
                                                :mod (s3 / sanitary))
                                          :op4 (f2 / food
                                                :beneficiary (p4 / pet)))
                                    :time (n4 / now
                                          :mod (r / right))
                                    :ARG1-of (u / urgent-02)))))))"
"(e / ensure-01
      :ARG0 (c / company
            :name (n / name
                  :op1 ""Shopee""))
      :ARG1 (a / access-01
            :ARG1 (m / mask
                  :mod (f / face))
            :ARG1-of (a2 / afford-01
                  :ARG1-of (p / possible-01)))
      :time (o / outbreak
            :name (n2 / name
                  :op1 ""COVID""
                  :op2 19)
            :mod (p2 / pandemic))
      :ARG1-of (c2 / cause-01
            :ARG0 (o2 / offer-01
                  :ARG1 (m2 / mask
                        :mod (f2 / face)
                        :consist-of (p3 / ply
                              :quant 3)
                        :quant (v / volume-quantity
                              :quant 50
                              :unit (c3 / case)))
                  :ARG3 (l / less-than
                        :op1 (m3 / monetary-quantity
                              :quant 100
                              :unit (d / dollar))))))"
"(m / multi-sentence
      :snt1 (g / gas
            :polarity (a / amr-unknown)
            :ARG1-of (c / cost-01
                  :ARG2 (a2 / at-most
                        :op1 (m2 / monetary-quantity
                              :quant 1.99
                              :unit (d / dollar)))))
      :snt2 (p / plummet-01
            :ARG1 (p2 / price-01)
            :location (s / state
                  :name (n / name
                        :op1 ""Pennsylvania""))
            :ARG1-of (c2 / cause-01
                  :ARG0 (s2 / spread-02
                        :ARG1 (c3 / coronavirus))))
      :snt3 (u / url-entity
            :value ""https://t.co/oyKOPTbFt6""
            :medium (p3 / publication
                  :name (n2 / name
                        :op1 ""ydrcom"")))
      :snt4 (v / virus
            :name (n3 / name
                  :op1 ""coronavirus"")
            :location (c4 / country
                  :name (n4 / name
                        :op1 ""CoronavirusUSA""))))"
"(a / and
      :op1 (v / virus
            :mod (c / coronavirus))
      :op2 (p / person
            :ARG0-of (w / work-01
                  :ARG1 (h / healthcare)))
      :op3 (p2 / person
            :ARG0-of (d / drive-01
                  :ARG1 (t / truck)))
      :op4 (p3 / peep
            :ARG0-of (d2 / deliver-01
                  :ARG1 (f / food)))
      :op5 (p4 / person
            :ARG1-of (e / employ-01
                  :ARG2 (s / store
                        :mod (g / grocery))))
      :op6 (p5 / person
            :ARG0-of (s2 / staff-01
                  :ARG1 (r / restaurant))
            :ARG0-of (p6 / prepare-01
                  :ARG1 (m / meal
                        :ARG1-of (t2 / take-away-05))
                  :mod (s3 / still)))
      :mod (h2 / hero))"
"(m / multi-sentence
      :snt1 (r / remain-01
            :ARG1 (m2 / market
                  :mod (e / equity)
                  :mod (c / country
                        :name (n / name
                              :op1 ""US"")))
            :ARG3 (u / upbeat)
            :ARG1-of (c2 / cause-01
                  :ARG0 (o / optimism
                        :topic (p / possible-01
                              :ARG1 (s / slow-01
                                    :ARG1 (p2 / pace-01
                                          :ARG1 (c3 / case-03
                                                :ARG1 (o2 / organization
                                                      :name (n2 / name
                                                            :op1 ""COVID-19""))
                                                :ARG1-of (n3 / new-01))))))))
      :snt2 (a / and
            :op1 (u2 / up-02
                  :ARG1 (ii / index
                        :name (n4 / name
                              :op1 ""S&AMP;P500""))
                  :ARG2 (p3 / percentage-entity
                        :value 3.4)
                  :time (c4 / current))
            :op2 (f / follow-01
                  :ARG1 (a2 / and
                        :op1 (m3 / monetary-quantity
                              :ARG2-of (p4 / price-01
                                    :ARG1 (o3 / oil)))
                        :op2 p3
                        :value 2
                        :ARG2-of (y / yield-01
                              :ARG1 (b / bond))))
            :ARG2 (s2 / suit-01
                  :ARG1 a2))
      :mod (a3 / also)
      :snt3 (u3 / url-entity
            :value ""https://t.co/Xicy2asEUq""))"
"(m / multi-sentence
      :snt1 (m2 / magazine
            :name (n / name
                  :op1 ""Forbes""))
      :snt2 (s / show-01
            :ARG0 (c / crisis
                  :name (n2 / name
                        :op1 ""COVID-19""))
            :ARG1 (a / and
                  :op1 (ii / issue-02
                        :ARG0 (f / flow-01
                              :ARG1 (c2 / cash))
                        :ARG1 (b / business
                              :mod (s2 / small)
                              :mod (c3 / country
                                    :name (n3 / name
                                          :op1 ""America""))
                              :quant (m3 / many))
                        :mod (t / too))
                  :op2 (l / live-01
                        :ARG0 b
                        :ARG1 (e / equivalent
                              :mod (p / paycheck
                                    :prep-to (p2 / paycheck)))
                        :ARG1-of (e2 / effective-04))))
      :snt3 (p3 / possible-01
            :ARG1 (t2 / tip-02
                  :ARG0 (d / decline-01
                        :ARG1 (d2 / demand-01
                              :ARG0 (p4 / person
                                    :ARG0-of (c4 / consume-01)))
                        :ARG1-of (s3 / sharp-02))
                  :ARG1-of (e3 / easy-05)))
      :ARG1-of (h / hyperlink-91
            :ARG3 (u / url-entity
                  :value ""https://t.co/Pr45NdaPXa"")))"
"(m / multi-sentence
      :snt1 (s / start-off-02
            :ARG1 (w / week
                  :mod (t / this))
            :ARG2 (n / note
                  :mod (s2 / somber))
            :ARG1-of (c / cause-01
                  :ARG0 (h / hit-01
                        :ARG0 (r / reality
                              :mod (m2 / mitigate-01
                                    :ARG1 (l / law
                                          :name (n2 / name
                                                :op1 ""COVID19""))))
                        :ARG1 (s3 / sector
                              :ARG0-of (p / process-01))
                        :ARG1-of (f / full-09))))
      :snt2 (a / and
            :op1 (e / effect-03
                  :ARG0 (t2 / take-01
                        :ARG1 (p2 / precaution-02
                              :ARG1 (s4 / space-01
                                    :ARG1 (p3 / person
                                          :ARG1-of (e2 / employ-01)))
                              :location (l2 / line)))
                  :ARG1 (t3 / this)
                  :mod (c2 / combine-01))
            :op2 (r2 / result-01
                  :ARG1 (p4 / plane
                        :mod (d / demand-01)
                        :time (c3 / current))
                  :ARG2 t3)))"
"(m / multi-sentence
      :snt1 (n / nothing
            :ARG1-of (r / resemble-01
                  :ARG2 (a / and
                        :op1 (o / obligate-01
                              :ARG2 (t / travel-01
                                    :ARG2 (c / city
                                          :name (n2 / name
                                                :op1 ""Alice""
                                                :op2 ""Springs""))
                                    :direction (b / back)
                                    :time (a2 / as-ap1))
                              :ARG1-of (c2 / cause-01
                                    :ARG0 (l / law
                                          :name (n3 / name
                                                :op1 ""COVID-19"")))))
                  :op2 (s / sting-01
                        :ARG1 (ii / i)
                        :quant (n4 / nearly
                              :op1 (m2 / monetary-quantity
                                    :quant 400
                                    :unit (d / dollar)))
                        :ARG1-of c2
                        :ARG0 (f / fly-01
                              :ARG2 (c3 / city
                                    :name (n5 / name
                                          :op1 ""Melbs""))
                              :duration (t2 / temporal-quantity
                                    :quant 2.5
                                    :unit (h / hour))
                              :mod (o2 / one-way)))))
      :snt2 (s2 / surprise-01
            :ARG0 (h2 / hike-02
                  :polarity -
                  :ARG1 (p / price-01)
                  :direction (u / up)
                  :purpose (m3 / make-18
                        :ARG1 (m4 / most)
                        :ARG2 (s3 / sitch)))
            :ARG2-of (h3 / have-degree-91
                  :ARG1 h2
                  :ARG3 (m5 / more
                        :mod (e / even))))
      :snt3 (t3 / thank-01
            :ARG0 ii)
      :ARG1 (c4 / company
            :name (n6 / name
                  :op1 ""Qantas""))
      :mod (a3 / again))"
"(s / say-01
      :ARG0 (p / person
            :name (n / name
                  :op1 ""Yogi""
                  :op2 ""Adityanath"")
            :ARG0-of (h / have-org-role-91
                  :ARG2 (m / minister
                        :mod (c / chief))))
      :ARG1 (a / and
            :op1 (l / lead-02
                  :ARG0 (p2 / person
                        :name (n2 / name
                              :op1 ""ji""))
                  :ARG1 (w / way))
            :op2 (n3 / need-01
                  :ARG0 (o / other)
                  :ARG1 (f / follow-02
                        :ARG0 o
                        :ARG1 (t / thing
                              :ARG2-of (p3 / price-01
                                    :ARG1 (a2 / and
                                          :op1 (s2 / sanitary)
                                          :op2 (m2 / mask))))))
            :op3 (c2 / come-01
                  :ARG1 a2
                  :ARG4 (d / down)
                  :mod (a3 / also)
                  :manner (t2 / together)
                  :ARG1-of (p4 / possible-01))
            :op4 (f2 / fight-01
                  :ARG0 (w2 / we)
                  :ARG1 (g / government-organization
                        :ARG0-of (g2 / govern-01
                              :ARG1 (s3 / state
                                    :name (n4 / name
                                          :op1 ""Uttar""
                                          :op2 ""Pradesh""))))
                  :ARG2 (g3 / give-01
                        :ARG0 g
                        :ARG1 (m3 / monetary-quantity
                              :quant 1000
                              :unit (r / rupee)
                              :mod (e / each))
                        :ARG2 (p5 / person
                              :ARG0-of (l2 / labor-01)
                              :quant (o2 / over
                                    :op1 35))))))"
"(m / multi-sentence
      :snt1 (h / have-06
            :ARG0 (y / you)
            :ARG1 (d / deliver-01
                  :ARG1 (g / grocery
                        :poss y)
                  :ARG2 (d2 / doorstep
                        :poss y))
            :time (a / after
                  :op1 (n / now)
                  :quant (t / temporal-quantity
                        :quant 3
                        :unit (h2 / hour))
                  :mod (j / just)))
      :snt2 (s / stay-01
            :ARG1 (y2 / you)
            :ARG3 (s2 / safe-01
                  :ARG1 y2)
            :manner (a2 / and
                  :op1 (s3 / shop-01
                        :ARG0 y2
                        :medium (o / online))
                  :op2 (p / pay-01
                        :ARG0 y2
                        :medium (o2 / online))))
      :snt3 (s4 / supermarket
            :poss y2
            :location (h3 / home))
      :snt4 (v / visit-01
            :mode imperative
            :ARG0 (y3 / you)))"
"(s / skyrocket-01
      :ARG0 (s2 / shop-01
            :manner (p / panic-01))
      :ARG1 (p2 / price-01
            :ARG1 (e / egg)))"
"(a / and
      :op1 (m / measure-02
            :ARG0 (p / person
                  :ARG0-of (h / have-org-role-91
                        :ARG1 (c / country
                              :name (n / name
                                    :op1 ""Mongolia""))
                        :ARG2 (g / governor)))
            :ARG1 (c2 / counter-01
                  :mod (e / economy))
            :time (e2 / event
                  :name (n2 / name
                        :op1 ""Covid-19""
                        :op2 ""Action""
                        :op3 2)))
      :op2 (a2 / and
            :op1 (p2 / postpone-01
                  :ARG1 (r / repay-01
                        :ARG1 (ii / interest)
                        :ARG3 (l / loan-01
                              :ARG2 (p3 / person
                                    :ARG0-of (c3 / consume-01))))
                  :ARG2 (t / temporal-quantity
                        :quant 90
                        :unit (d / day)))
            :op2 (d2 / decrease-01
                  :polarity -
                  :ARG1 (r2 / rate-01
                        :ARG3 (c4 / credit))
                  :time (p4 / period
                        :mod (t2 / this)))))"
"(m / multi-sentence
      :snt1 (c / check-01
            :ARG1 (p / person
                  :name (n / name
                        :op1 ""nushratbharucha""))
            :ARG2 (t / temperature)
            :location (s / store
                  :mod (g / grocery)
                  :ARG1-of (l / local-02
                        :ARG2 (c2 / city
                              :name (n2 / name
                                    :op1 ""Bandra""))))
            :time (s2 / step-out-06
                  :ARG0 p
                  :purpose (s3 / shop-01
                        :ARG0 p
                        :mod (e / essential)
                        :mod (s4 / some))))
      :snt2 (s5 / situation
            :location (n3 / neighborhood
                  :poss (y / you))
            :domain (a / amr-unknown)
            :ARG1-of (r / request-confirmation-91))
      :snt3 (h / hyperlink-91
            :ARG3 (u / url-entity
                  :value ""https://t.co/AdkV1HTsSW"")))"
"(m / multi-sentence
      :snt1 (m2 / man
            :mode imperative
            :domain (y / you)
            :time (a / and
                  :op1 (s / sit-01
                        :ARG1 y
                        :ARG2 (j / john))
                  :op2 (g / go-01
                        :ARG1 (p / paper
                              :purpose (t / toilet)))))
      :snt2 (u / use-01
            :mode imperative
            :ARG0 (y2 / you
                  :part (h / hand))
            :ARG1 h)
      :snt3 (h2 / have-degree-91
            :ARG1 (y3 / you)
            :ARG2 (y4 / young)
            :ARG3 (t2 / too)
            :ARG6 (r / read-01
                  :ARG0 y3
                  :ARG1 (t3 / thing
                        :ARG1-of (p2 / post-01
                              :ARG0 (ii / i))))
            :condition (k / know-01
                  :polarity -
                  :ARG0 y3))
      :snt4 a
      :op1 (t4 / thing
            :name (n / name
                  :op1 ""Coronavirus""))
      :op2 (t5 / toiletpaper)
      :op3 (t6 / thing
            :name (n2 / name
                  :op1 ""Covid_19""))
      :op4 (c / challenge-01
            :ARG2 (t7 / toiletpaper))
      :op5 (t8 / thing
            :name (n3 / name
                  :op1 ""CoronaVirus""
                  :op2 ""Update"")))"
"(m / multi-sentence
      :snt1 (s / set-02
            :ARG0 (o / organization
                  :name (n / name
                        :op1 ""MoCI""))
            :ARG1 (p / price-01
                  :ARG1 (a / and
                        :op1 (f / fish)
                        :op2 (f2 / fruit)
                        :op3 (v / vegetable))
                  :ARG2 (m2 / maximum)))
      :snt2 (p2 / publication
            :name (n2 / name
                  :op1 ""Covid_19"")
            :topic (c / country
                  :name (n3 / name
                        :op1 ""Qatar"")))
      :snt3 (u / url-entity
            :value ""https://t.co/RZHj67peY5""))"
"(m / multi-sentence
      :snt1 (f / flex-01
            :ARG1 (g / go-05
                  :ARG0 (y / you)
                  :ARG1 (p / paper
                        :purpose (t / toilet))
                  :ARG2 (h / house
                        :poss (p2 / person
                              :ARG0-of (h2 / have-rel-role-91
                                    :ARG1 y
                                    :ARG2 (n / neighbor)))))
            :time (n2 / now
                  :mod (r / right))
            :ARG1-of (h3 / have-degree-91
                  :ARG2 (b / big)
                  :ARG3 (m2 / most)))
      :snt2 p
      :purpose t
      :snt3 (c / crisis
            :mod t)
      :snt4 (e / event
            :name (n3 / name
                  :op1 ""COVID2019""))
      :snt5 (v / virus
            :name n3
            :op1 ""Coronavirus"")
      :snt6 (p3 / pandemic
            :mod v))"
"(m / multi-sentence
      :snt1 (b / blow-01
            :ARG0 (c / company
                  :name (n / name
                        :op1 ""Breeze""
                        :op2 ""Blow""
                        :op3 ""Fowl""
                        :op4 ""Nyash""))
            :ARG1 (o / open-01))
      :snt2 (a / and
            :op1 (v / virus)
            :op2 (p / price-01
                  :ARG1 (o2 / oil)
                  :ARG1-of (f / fall-01)))
      :snt3 (f2 / finish
            :mod (r / rugged)
            :time (y / year
                  :mod (t / this))))"
"(a / and
      :op1 (c / care-03
            :ARG1 (c2 / car))
      :op2 (m / maintain-01
            :ARG1 c2)
      :time (c3 / coronavirus)
      :ARG1-of (s / say-01
            :ARG0 (p / publication-91
                  :ARG0 (p2 / person
                        :ARG0-of (c4 / consume-01))))
      :ARG1-of (h / hyperlink-91
            :ARG3 (u / url-entity
                  :value ""https://t.co/djKiznRoaB"")))"
"(m / multi-sentence
      :snt1 (u / update-02
            :location (s / store
                  :mod (g / grocery)
                  :location (r / relative-position
                        :op1 (h / house
                              :poss (h2 / he)
                              :location (c / city
                                    :name (n / name
                                          :op1 ""London"")))
                        :direction (d / down)))
            :mod (a / another))
      :snt2 (r2 / resemble-01
            :polarity -
            :ARG1 (s2 / store
                  :mod (g2 / grocery)
                  :poss (h3 / he)
                  :location (c2 / city
                        :name (n2 / name
                              :op1 ""Toronto"")))))"
"(m / multi-sentence
      :snt1 (o / offer-01
            :ARG0 (w / we)
            :ARG1 (a / and
                  :op1 (f / facemask)
                  :op2 (a2 / apron)
                  :ARG0-of (p / protect-01))
            :ARG3 (m2 / monetary-quantity
                  :ARG2-of (p2 / price-01)
                  :mod (t / trade-01))
            :beneficiary (a3 / all)
            :time (c / crisis
                  :name (n / name
                        :op1 ""COVID-19"")))
      :snt2 (m3 / make-01
            :ARG1 (g / gear
                  :ARG0-of (p3 / protect-01)
                  :mod (a4 / all))
            :ARG2 (p4 / product
                  :name (n2 / name
                        :op1 ""PP"")
                  :ARG1-of (w2 / weave-01
                        :polarity -))
            :location (e / environment
                  :ARG1-of (c2 / clean-04)
                  :ARG1-of (s / sterilize-01))
            :ARG0-of (c3 / cause-01
                  :ARG1 (p5 / possible-01
                        :ARG1 (a5 / assure-01
                              :ARG1 (y / you)
                              :ARG2 (a6 / and
                                    :op1 (h / hygienic
                                          :domain g)
                                    :op2 (s2 / safe-01
                                          :ARG0 g))))))
      :snt3 (ii / intend-01
            :ARG1 (d / disinform-01)
            :ARG1-of (r / request-confirmation-91)))"
"(m / multi-sentence
      :snt1 (r / rise-01
            :ARG1 (p / potential
                  :purpose (r2 / return-06
                        :time (f / future)))
            :time (f2 / fall-01
                  :ARG1 (p2 / price-01
                        :ARG1 (s / stock)
                        :time (c / current))))
      :snt2 (t / think-01
            :time (d / date-entity
                  :weekday (w / wednesday)))
      :snt3 (v / virus
            :mod (c2 / coronavirus))
      :snt4 (ii / invest-01)
      :snt5 (b / bill
            :mod (s2 / stimulus))
      :snt6 (m2 / market
            :mod (s3 / stock)))"
"(m / multi-sentence
      :snt1 (a / and
            :op1 (p / possible-01
                  :ARG1 (g / go-02
                        :ARG0 (ii / i)
                        :ARG4 (b / beach)
                        :time (a2 / after)))
            :op2 (g2 / grab-01
                  :ARG0 ii
                  :ARG1 (g3 / gold
                        :quant (s / some
                              :quant (m2 / more)))
                  :ARG2 (s2 / sand
                        :ARG1-of (a3 / awe-01)
                        :ARG1-of (h / have-03
                              :ARG0 (w / we)
                              :location (h2 / here)))))
      :snt2 (k / know-01
            :ARG0 (y / you)
            :ARG1 (f / flip-01
                  :ARG1 (t / thing))
            :time (p2 / possible-01
                  :ARG1 (f2 / find-01
                        :ARG0 y
                        :ARG1 (g4 / gold)
                        :location (b2 / beach)
                        :ARG1-of (c / contrast-01
                              :ARG2 (r / roll-01
                                    :polarity -
                                    :ARG1 (t2 / toilet)
                                    :location (s3 / supermarket))))))
      :snt3 (p3 / post-01
            :ARG0 ii
            :ARG1 (r2 / result)
            :time (a4 / after
                  :op1 (n / now))
            :time (t3 / today))
      :snt4 (g5 / gold)
      :snt5 (p4 / prospect-02)
      :snt6 (c2 / company
            :name (n2 / name
                  :op1 ""COVID"")
            :time (d / date-entity
                  :year 2019)))"
"(m / multi-sentence
      :snt1 (c / contrast-01
            :ARG1 (k / know-01
                  :polarity -
                  :ARG0 (ii / i)
                  :ARG1 (p / person
                        :ARG0-of (n / need-01
                              :ARG1 (s / see-01
                                    :ARG0 p
                                    :ARG1 (t / this)))))
            :ARG2 (e / endanger-01
                  :ARG0 (y / you)
                  :ARG1 (l / live-01
                        :ARG0 (p2 / person
                              :ARG1-of (o / obligate-01
                                    :ARG2 (a / and
                                          :op1 (p3 / package-01
                                                :ARG0 p2
                                                :ARG1 (t2 / thing
                                                      :ARG1-of (s2 / shop-01
                                                            :ARG0 y
                                                            :purpose (g / gratification))))
                                          :op2 (s3 / ship-01
                                                :ARG0 p2
                                                :ARG1 t2)
                                          :op3 (d / deliver-01
                                                :ARG0 p2
                                                :ARG1 t2)))))
                  :condition (o2 / order-01
                        :ARG0 y
                        :ARG1 (t3 / thing
                              :ARG1-of (n2 / need-01
                                    :polarity -
                                    :ARG0 y))
                        :medium (o3 / online)
                        :time (n3 / now
                              :mod (r / right)))))
      :snt2 (d2 / do-02
            :polarity -
            :mode imperative
            :ARG0 y)
      :snt3 (p4 / person
            :name (n4 / name
                  :op1 ""Covid_19"")))"
"(m / multi-sentence
      :snt1 (d / discuss-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""Matt""
                        :op2 ""Tudball"")
                  :ARG0-of (h / have-org-role-91
                        :ARG1 (c / company
                              :name (n2 / name
                                    :op1 ""Recycling""))
                        :ARG2 (e / editor
                              :mod (s / senior))))
            :ARG1 (c2 / challenge-01
                  :ARG1 (m2 / market
                        :mod (p2 / product
                              :name (n3 / name
                                    :op1 ""R-PET"")))
                  :ARG1-of (f / face-01
                        :ARG0 m2
                        :location (c3 / continent
                              :name (n4 / name
                                    :op1 ""Europe""))
                        :ARG1-of (c4 / cause-01
                              :ARG0 (c5 / coronavirus))))
            :medium (v / video))
      :snt2 (ii / include-01
            :ARG1 (a / and
                  :op1 (s2 / supply-01)
                  :op2 (l / logistics)
                  :op3 (t / thing
                        :ARG2-of (p3 / price-01
                              :ARG1 (p4 / product
                                    :name (n5 / name
                                          :op1 ""PET"")
                                    :mod (v2 / virgin)))
                        :ARG1-of (l2 / low-04)))
            :ARG2 (p5 / problem))
      :snt3 a
      :op1 (c6 / company
            :name (n6 / name
                  :op1 ""ICIS""))
      :op2 (v3 / virus
            :name (n7 / name
                  :op1 ""Coronavirus""))
      :op3 (o / outlook)
      :op4 (c7 / company
            :name (n8 / name
                  :op1 ""RPET""))
      :op5 (u / url-entity
            :value ""https://t.co/duFP0qqbQD""))"
"(m / multi-sentence
      :snt1 (w / worry-01
            :polarity -
            :mode imperative
            :ARG0 (y / you)
            :condition (p / possible-01
                  :polarity -
                  :ARG1 (f / find-01
                        :ARG0 y
                        :ARG1 (o / or
                              :op1 (c / chicken)
                              :op2 (b / beef
                                    :ARG1-of (g / ground-04))
                              :mod (a / any))
                        :location (s / store
                              :mod (g2 / grocery)
                              :ARG1-of (l / local-02)
                              :poss y)
                        :time (o2 / outbreak-29
                              :ARG1 (d / disease
                                    :name (n / name
                                          :op1 ""coronavirus""))
                              :mod (t / this)))))
      :snt2 (g3 / go-02
            :mode imperative
            :ARG0 (y2 / you)
            :ARG4 (f2 / facility
                  :name (n2 / name
                        :op1 ""Arbys""))
            :mod (j / just)
            :purpose (h / have-03
                  :ARG0 (t2 / they)
                  :ARG1 (m2 / meat))))"
"(m / multi-sentence
      :snt1 (c / cause-01
            :ARG1 (h / have-condition-91
                  :ARG1 (h2 / have-03
                        :polarity -
                        :ARG0 (p / person
                              :ARG0-of (c2 / consume-01))
                        :ARG1 (l / luck))
                  :ARG2 (s / say-01
                        :ARG0 (p2 / person
                              :ARG0-of (h3 / host-01))
                        :ARG1 (r / refund-01
                              :polarity -
                              :ARG2 p))))
      :snt2 (b / believe-01
            :mode imperative
            :ARG0 (y / you)
            :ARG1 (ii / i)
            :topic (r2 / remember-01
                  :ARG0 (w / we)
                  :ARG1 (p3 / policy-01
                        :ARG0 (y2 / you)
                        :ARG1 (t / this))
                  :time (e / ever
                        :mod (a / again
                              :polarity -))))
      :snt3 (h4 / hello))"
"(m / multi-sentence
      :snt1 (u / url-entity
            :value ""https://t.co/luOzdEzk7m"")
      :snt2 (p / publication-91
            :ARG1 (p2 / publication
                  :name (n / name
                        :op1 ""Coronavirus""
                        :op2 ""USA"")))
      :snt3 p2
      :name n
      :op1 ""Grocery""
      :op2 ""Tipping""
      :op3 ""Point"")"
"(m / multi-sentence
      :snt1 (r / return-01
            :ARG1 (ii / i)
            :ARG3 (t / travel-01
                  :ARG0 ii)
            :ARG4 (h / home)
            :ARG1-of (c / cause-01
                  :ARG0 (o / outbreak-29
                        :time (d / date-entity
                              :weekday (f / friday)))))
      :snt2 (s / scene
            :domain (t2 / this)
            :location (s2 / store
                  :mod (g / grocery)
                  :poss (ii2 / i)
                  :ARG1-of (l / local-02))
            :time (d2 / date-entity
                  :dayperiod (m2 / morning)
                  :mod (y / yesterday)))
      :snt3 (c2 / contrast-01
            :ARG1 (m3 / manage-02
                  :ARG0 (ii3 / i)
                  :ARG1 (p / purchase-01
                        :ARG0 ii3
                        :ARG1 (f2 / food)
                        :ARG2 (e / elsewhere)))
            :ARG2 (s3 / struggle-02
                  :ARG0 ii3
                  :ARG1 p)))"
"(t / thank-01
      :mode expressive
      :ARG0 (w / we)
      :ARG1 (a / and
            :op1 (p / professional
                  :mod (m / medicine)
                  :poss w
                  :mod (a2 / all))
            :op2 (p2 / person
                  :ARG1-of (e / employ-01
                        :ARG2 (s / store
                              :mod (g / grocery)))
                  :mod (a3 / all))
            :op3 (p3 / person
                  :ARG0-of (r / respond-01
                        :ord (o / ordinal-entity
                              :value 1))
                  :mod (a4 / all))
            :op4 (p4 / person
                  :location (l / line
                        :mod (f / front))
                  :mod (a5 / all)))
      :location (l2 / location
            :part-of (w2 / world)))"
"(m / multi-sentence
      :snt1 (s / say-01
            :ARG0 (p / person
                  :name (n / name
                        :op1 ""melchizedekwife""))
            :ARG1 (a / and
                  :op1 (f / finance)
                  :op2 (g / government-organization
                        :name (n2 / name
                              :op1 ""Senate""
                              :op2 ""GOP""))
                  :op3 (p2 / person
                        :name (n3 / name
                              :op1 ""ChuckGrassley""))
                  :op4 (c / company
                        :name (n4 / name
                              :op1 ""HEB""))
                  :op5 (c2 / company
                        :name (n5 / name
                              :op1 ""Walmart""))
                  :op6 (p3 / president
                        :mod (c3 / country
                              :name (n6 / name
                                    :op1 ""United""
                                    :op2 ""States"")))))
      :snt2 (h / have-03
            :ARG0 (ii / i)
            :ARG1 (p4 / problem
                  :ARG1-of (s2 / same-01))
            :location (h2 / here))
      :snt3 (a2 / and
            :op1 (g2 / get-01
                  :polarity -
                  :ARG0 ii
                  :ARG1 (g3 / grocery)
                  :time (b / before
                        :op1 (n7 / now)
                        :duration (t / temporal-quantity
                              :quant 2
                              :unit (w / week))))
            :op2 (t2 / try-01
                  :ARG0 ii
                  :ARG1 (s3 / shop-01
                        :ARG0 ii
                        :medium (o / online))
                  :ARG1-of (c4 / cause-01
                        :ARG0 (o2 / out-05
                              :ARG1 ii
                              :ARG2 (s4 / stock-01
                                    :ARG1 g3)))))
      :snt4 (c5 / call-02
            :ARG0 ii
            :ARG1 (a3 / agency
                  :topic (a4 / age-01))
            :purpose (s5 / see-01
                  :ARG0 ii
                  :ARG1 (a5 / available-02
                        :ARG2 (h3 / help-01)))
            :snt5 (t3 / tell-01
                  :ARG0 ii
                  :ARG1 (p5 / program))))"
"(m / multi-sentence
      :snt1 (s / sue-02
            :ARG0 (m2 / man)
            :ARG1 (s2 / supermarket)
            :ARG2 (ii / injure-01
                  :ARG0 (p / paper
                        :purpose (t / toilet)))
            :snt2 (j / joke-01
                  :mod (l / lame)
                  :time (d / date-entity
                        :weekday (t2 / thursday)))
            :snt3 (u / url-entity
                  :value ""https://t.co/vITud6QGSV"")
            :snt4 (j2 / joke-01
                  :mod (l2 / lame)
                  :time (d2 / date-entity
                        :weekday (t3 / thursday)))
            :snt5 (j3 / joke-01
                  :mod (l3 / lame))
            :snt6 (f / funny)
            :snt7 (l4 / laugh-01)
            :snt8 (j4 / joke-01
                  :mod (j5 / jokesfordays))
            :snt9 (a / and
                  :op1 (q / quarantine-01)
                  :op2 (c / chill-01)
                  :op3 (q2 / quarantine-01)
                  :op4 (p2 / plan-01
                        :ARG1 (s3 / survive-01
                              :ARG0 (ii2 / i)
                              :ARG1 (e / epidemic))
                        :ARG1-of (c2 / call-01
                              :ARG2 (n / name
                                    :op1 ""COVID19"")))
                  :op5 (v / virus)
                  :op6 (t4 / toiletpaper)
                  :op7 (p3 / person
                        :name (n2 / name
                              :op1 ""Rona"")))))"
"(m / multi-sentence
      :snt1 (q / queue-01
            :purpose (g / get-05
                  :ARG1 (ii / i)
                  :ARG2 (ii2 / inside
                        :op1 (s / supermarket
                              :ARG1-of (l / local-02
                                    :ARG2 (c / city-district
                                          :name (n / name
                                                :op1 ""South""
                                                :op2 ""London"")))
                              :poss ii))
                  :time (d / date-entity
                        :time ""8:00"")))
      :snt2 (d2 / do-02
            :ARG0 (ii3 / i)
            :ARG1 (a / amr-unknown))
      :snt3 (j / join-01
            :ARG0 ii3
